th, trial, time,,
1,1,0.008554
1,2,0.008484
1,3,0.008575
1,4,0.008516
1,5,0.008567
,,,,
2,1,0.007633,,
2,2,0.007616,,
2,3,0.008099,,
2,4,0.007637,,
2,5,0.007686,,
,,,,
4,1,0.004581,,
4,2,0.004683,,
4,3,0.004696,,
4,4,0.004608,,
4,5,0.004649,,
,,,,
8,1,0.003392,,
8,2,0.003052,,
8,3,0.003077,,
8,4,0.003233,,
8,5,0.003197,,
,,,,
16,1,0.002860,, 
16,2,0.002893,,
16,3,0.002666,,
16,4,0.002732,,
16,5,0.002887,,
,,,,
32,1,0.024447,,
32,2,0.023985,,
32,3,0.017153,,
32,4,0.023997,,
32,5,0.016852,,